Game,Copies sold,Release date,Genre,Developer,Publisher,Console_name
BioShock,1 million,2007-08-21,First-person shooter,Irrational Games,2K Games,PC
The Witcher,2 million,2007-10-26,Action role-playing,CD Projekt Red,Atari,PC
Crysis,3 million,2007-11-13,First-person shooter,Crytek,Electronic Arts,PC
Spore,2 million,2008-09-04,God game,Maxis,Electronic Arts,PC
Crysis Warhead,1 million,2008-09-16,First-person shooter,Crytek Budapest,Electronic Arts,PC
Warhammer Online: Age of Reckoning,1 million,2008-09-18,MMORPG,Mythic Entertainment,Electronic Arts,PC
Killing Floor,1 million,2009-05-14,First-person shooter,Tripwire Interactive,Tripwire Interactive,PC
The Sims 3,7 million,2009-06-02,Life simulation,Maxis,Electronic Arts,PC
Ultra Street Fighter IV,1.3 million,2009-07-02,Fighting,Capcom Dimps,Capcom,PC
Resident Evil 5,1 million,2009-09-17,"Third-person shooter, survival horror",Capcom,Capcom,PC
Machinarium,1 million,2009-10-16,"Graphic adventure, puzzle",Amanita Design,Amanita Design,PC
Sega Mega Drive and Genesis Classics,1.5 million,2010-06-01,Compilation,Sega,Sega,PC
StarCraft II: Wings of Liberty,6 million,2010-07-27,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Magicka,2 million,2011-01-25,Action-adventure,Arrowhead Game Studios,Paradox Interactive,PC
Terraria,23 million,2011-05-16,Action-adventure,Re-Logic,Re-Logic,PC
The Witcher 2: Assassins of Kings,2 million,2011-05-17,Action role-playing,CD Projekt Red,CD Projekt,PC
The Legend of Sword and Fairy 5,1 million,2011-07-07,Role-playing game,Softstar,Softstar,PC
The Binding of Isaac,3 million,2011-09-28,"Action-adventure, roguelike",Edmund McMillen & Florian Himsl,Headup Games,PC
Crusader Kings II,1 million,2012-02-14,Grand strategy,Paradox Development Studio,Paradox Interactive,PC
Diablo III,20 million,2012-05-15,Action role-playing,Blizzard Entertainment,Blizzard Entertainment,PC
Dark Souls,3.6 million,2012-08-23,Action role-playing,FromSoftware,Namco Bandai Games,PC
Guild Wars 2,5 million,2012-08-28,MMORPG,ArenaNet,NCsoft,PC
Prison Architect,1 million,2012-09-25,Construction and management simulation,Introversion Software,Introversion Software,PC
Euro Truck Simulator 2,15 million,2012-10-19,Vehicle simulation,SCS Software,SCS Software,PC
American Truck Simulator,4 million,2012-10-19,Vehicle simulation,SCS Software,SCS Software,PC
SimCity,2 million,2013-03-05,City-building,Electronic Arts,Electronic Arts,PC
StarCraft II: Heart of the Swarm,1 million,2013-03-12,Real-time strategy,Blizzard Entertainment,Blizzard Entertainment,PC
Resident Evil 6,1.3 million,2013-03-21,"Third-person shooter, survival horror",Capcom,Capcom,PC
Europa Universalis IV,1 million,2013-08-13,Grand strategy,Paradox Development Studio,Paradox Interactive,PC
Star Citizen,1.7 million,2013-08-29,"MMO, Space trading and combat, first-person shooter",Cloud Imperium Games,Cloud Imperium Games,PC
ARMA 3,5.5 million,2013-09-12,Tactical shooter,Bohemia Interactive,Bohemia Interactive,PC
